table6_name,doc_name,section,notes
ECA,Economic Commission for Africa,18,abbreviation
OHCHR,Office of the United Nations High Commissioner for Human Rights,24,abbreviation
UNTSO,United Nations Truce Supervision Organization,5,abbreviation
UNMOGIP,United Nations Military Observer Group in India and Pakistan,5,abbreviation
Independent Institution on Missing Persons in the Syrian Arab Republic,Independent Institution on Missing Persons in the Syrian Arab Republic,24,non-breaking space in doc
General Assembly and Economic and Social Council affairs and conference management,Department for General Assembly and Conference Management,2,section-only
Disarmament,Office for Disarmament Affairs,4,section-only
Peaceful uses of outer space,Office for Outer Space Affairs,6,section-only
Economic and social affairs,Department of Economic and Social Affairs,9,section-only
Trade and development,United Nations Conference on Trade and Development,12,section-only
Environment,United Nations Environment Programme,14,section-only
Human settlements,UN-Habitat,15,section-only
"International drug control, crime and terrorism prevention and criminal justice",United Nations Office on Drugs and Crime,16,section-only
Economic and social development in Asia and the Pacific,Economic and Social Commission for Asia and the Pacific,19,section-only
Economic development in Europe,Economic Commission for Europe,20,section-only
Economic and social development in Latin America and the Caribbean,Economic Commission for Latin America and the Caribbean,21,section-only
Economic and social development in Western Asia,Economic and Social Commission for Western Asia,22,section-only
Global communications,Department of Global Communications,28,section-only
"Administration, Nairobi",United Nations Office at Nairobi,29D,section-only
"Administration, Geneva",United Nations Office at Geneva,29E,section-only
"Administration, Vienna",United Nations Office at Vienna,29F,section-only
Internal oversight,Office of Internal Oversight Services,30,section-only
Safety and security,Department of Safety and Security,34,section-only
